Time	Count
0.17	1
0.83	0
6.33	1
7.67	0
9.83	1
10.00	0
10.17	1
10.67	0
10.83	1
11.00	0
11.17	1
11.67	0
12.50	1
13.50	0
13.67	1
14.00	0
23.00	1
23.17	0
23.33	2
23.83	1
24.67	3
25.00	1
25.17	2
25.83	1
26.17	0
26.33	1
27.00	0
27.33	1
28.33	0
30.00	1
30.33	0
30.50	1
31.17	0
36.00	1
36.33	0
38.00	1
38.50	0
38.67	1
39.17	0
39.33	1
39.50	0
39.83	1
40.33	0
40.83	1
41.17	2
41.50	0
41.67	1
41.83	0
42.67	1
43.00	0
48.00	1
48.17	0
51.00	1
53.00	0
53.33	1
53.83	2
54.00	1
54.17	0
54.33	1
54.67	0
63.17	1
63.50	0
63.83	1
64.17	0
68.33	1
68.50	0
69.00	1
69.17	0
74.17	1
74.33	0
76.17	1
77.67	0
79.00	1
80.00	0
80.33	1
80.50	0
80.83	2
81.00	1
81.17	2
81.33	1
81.67	2
81.83	1
82.17	0
82.33	1
83.17	0
83.83	1
84.33	0
85.00	1
85.17	0
85.83	1
86.00	0
86.17	1
86.33	0
87.33	1
88.17	0
90.17	1
91.17	2
91.33	1
91.50	2
91.67	1
92.17	0
92.67	1
92.83	0
93.83	1
95.67	0
95.83	1
96.00	0
96.83	1
97.50	2
97.67	1
98.67	2
99.00	1
99.67	0
103.00	1
105.33	2
105.50	3
105.67	2
105.83	1
107.67	2
107.83	1
108.50	0
111.17	1
111.50	0
111.67	1
112.50	0
112.67	1
113.00	2
113.50	1
113.67	2
113.83	1
114.50	0
114.83	1
115.50	0
122.00	1
124.83	0
131.83	1
135.83	0
136.00	1
136.17	0
136.50	1
137.00	2
137.17	1
137.83	0
138.83	1
139.00	0
140.33	1
140.50	0
144.50	1
145.83	0
146.17	1
147.50	2
147.83	1
148.00	0
151.67	1
151.83	0
152.50	1
153.00	0
155.33	1
155.50	0
155.67	1
158.17	2
158.33	1
158.67	2
158.83	1
159.50	0
165.17	1
166.00	0
166.50	1
166.83	0
167.00	1
167.33	2
167.50	1
168.33	2
168.50	1
169.33	0
171.50	1
174.33	0
174.50	1
175.17	0
177.00	1
178.17	0
179.67	1
179.83	2
180.00	0
182.17	2
182.50	1
184.00	0
184.67	1
185.00	2
185.17	1
185.83	2
186.00	1
186.50	2
186.67	1
186.83	0
187.00	1
188.83	2
189.33	1
189.83	2
190.00	1
192.33	2
192.50	0
192.83	1
196.67	2
197.17	1
197.50	2
197.67	1
200.00	0
204.33	1
205.67	0
208.17	1
208.33	0
208.50	1
212.00	0
212.17	1
213.50	0
221.50	1
222.33	0
222.50	1
223.00	0
223.17	2
223.50	3
223.67	2
224.00	3
224.17	2
225.83	1
227.83	2
228.17	1
229.50	0
237.17	1
237.33	0
237.83	1
240.17	0
241.00	1
241.50	0
251.00	1
251.33	0
251.50	1
251.83	0
252.83	1
253.17	2
254.00	1
255.50	2
255.83	3
256.00	1
256.17	2
256.67	1
257.00	0
260.67	1
262.17	0
262.67	1
263.17	0
263.33	1
264.17	0
265.50	1
270.17	2
270.67	1
273.00	0
273.17	1
273.50	0
273.67	1
274.83	0
275.33	1
275.50	0
276.67	1
277.00	0
278.83	1
279.33	0
279.50	1
280.17	0
284.17	1
285.83	0
287.17	1
287.33	0
288.17	1
288.50	0
288.67	1
288.83	0
