Time	Count
0.17	0
4.00	1
4.17	0
4.33	1
4.50	2
4.67	1
5.17	0
6.17	1
6.67	0
10.33	1
10.50	0
10.67	1
10.83	0
11.83	1
12.00	0
15.00	1
15.33	0
17.50	1
18.33	0
19.67	1
20.33	0
21.17	1
21.33	0
24.33	1
24.50	0
26.17	1
26.33	0
29.50	1
29.67	0
33.17	1
33.83	0
34.67	1
34.83	0
35.83	1
36.00	0
36.33	1
36.50	0
38.00	2
38.17	1
38.67	0
41.67	1
41.83	0
44.50	1
44.67	0
52.33	1
52.50	0
58.17	1
59.17	2
59.50	0
59.83	1
60.00	0
65.67	2
66.00	1
66.33	0
70.50	1
70.67	0
72.67	1
72.83	0
73.33	1
73.67	2
73.83	1
74.50	0
77.67	1
77.83	0
80.50	1
81.33	0
82.50	1
82.83	0
86.33	1
86.83	0
87.50	1
87.83	0
90.00	1
90.17	0
92.83	1
93.17	0
95.33	1
95.67	0
96.00	1
96.17	0
97.50	1
97.67	0
98.00	1
98.67	0
99.00	1
99.17	0
100.17	1
101.00	0
104.00	1
104.17	0
105.83	1
106.50	0
108.33	2
108.50	1
109.17	0
115.33	1
115.50	2
115.67	1
116.17	0
116.33	1
116.67	0
118.17	1
119.00	0
119.17	1
119.33	0
125.17	1
125.33	0
127.17	1
127.50	0
127.67	1
127.83	0
131.83	1
132.17	0
132.33	1
132.83	0
133.50	1
133.67	0
144.00	1
144.33	0
145.00	1
145.67	2
145.83	0
163.00	1
163.17	0
166.00	1
166.17	0
167.50	1
167.67	0
168.17	1
168.50	0
169.50	1
169.67	0
170.33	1
170.83	2
171.00	1
171.17	0
172.17	1
172.33	0
177.17	1
177.33	0
181.50	1
181.67	0
187.83	1
188.00	0
188.33	1
189.50	0
190.83	1
191.17	0
191.50	1
192.00	0
192.50	1
192.67	0
