Location	Time	Class	Type	Length	Width	ID
AND	0.17	D	Bus	14.5000	2.5500	1
GOK	0.17	D	BigTruck	19.2500	2.6500	2
NOR	4.00	C	Van	7.9500	2.0000	3
NOR	4.33	D	Bus	14.5000	2.5500	4
NOR	4.50	C	MiniTruckPickup	6.4000	2.0000	4
NOR	6.17	B	Sedan	6.0000	1.7000	5
GOK	6.33	C	MiniVanSUV	6.4000	1.7500	6
NOR	6.33	B	Sedan	6.0000	1.7000	7
AND	7.33	A	BicycleMotorcycle	2.1500	0.6500	8
AND	7.67	D	Bus	14.5000	2.5500	9
AND	8.83	C	Van	7.9500	2.0000	10
GOK	9.83	D	Bus	14.5000	2.5500	11
GOK	10.17	C	Jeep	6.9500	1.8500	12
NOR	10.33	C	MiniTruckPickup	6.4000	2.0000	12
NOR	10.67	C	Van	7.9500	2.0000	12
NOR	11.83	C	MiniTruckPickup	6.4000	2.0000	13
GOK	12.50	C	Jeep	6.9500	1.8500	14
NOR	15.00	B	Sedan	6.0000	1.7000	14
NOR	15.17	B	Sedan	6.0000	1.7000	15
NOR	17.50	B	Sedan	6.0000	1.7000	16
NOR	17.67	D	Bus	14.5000	2.5500	17
NOR	18.00	D	BigTruck	19.2500	2.6500	17
NOR	18.17	D	BigTruck	19.2500	2.6500	18
AND	18.50	B	Sedan	6.0000	1.7000	19
NOR	19.67	D	Bus	14.5000	2.5500	20
NOR	19.83	B	Sedan	6.0000	1.7000	21
AND	20.17	C	MiniTruckPickup	6.4000	2.0000	22
NOR	21.17	D	Bus	14.5000	2.5500	23
GOK	23.00	D	Bus	14.5000	2.5500	24
GOK	23.33	C	Jeep	6.9500	1.8500	24
GOK	23.33	C	Van	7.9500	2.0000	24
NOR	24.33	C	Van	7.9500	2.0000	24
GOK	24.67	C	Jeep	6.9500	1.8500	24
GOK	24.67	B	Sedan	6.0000	1.7000	25
NOR	26.17	C	Van	7.9500	2.0000	26
AND	29.33	B	Sedan	6.0000	1.7000	26
NOR	29.50	C	Van	7.9500	2.0000	27
GOK	30.00	A	BicycleMotorcycle	2.1500	0.6500	27
AND	30.83	D	BigTruck	19.2500	2.6500	28
NOR	33.17	D	Bus	14.5000	2.5500	29
NOR	34.67	C	Van	7.9500	2.0000	30
NOR	35.83	C	Van	7.9500	2.0000	30
GOK	36.00	A	BicycleMotorcycle	2.1500	0.6500	30
NOR	36.33	C	Van	7.9500	2.0000	31
AND	37.50	C	MiniTruckPickup	6.4000	2.0000	31
GOK	38.00	C	Van	7.9500	2.0000	32
NOR	38.00	C	Van	7.9500	2.0000	33
NOR	38.00	D	Bus	14.5000	2.5500	33
NOR	38.17	B	Sedan	6.0000	1.7000	34
NOR	38.50	B	Sedan	6.0000	1.7000	35
AND	40.17	C	MiniVanSUV	6.4000	1.7500	36
GOK	41.17	A	PedicabTricycle	2.1500	1.6000	37
NOR	41.67	C	Van	7.9500	2.0000	38
NOR	44.50	C	Van	7.9500	2.0000	39
AND	46.83	C	Jeep	6.9500	1.8500	39
GOK	48.00	B	Sedan	6.0000	1.7000	40
GOK	51.00	B	Sedan	6.0000	1.7000	40
AND	51.67	C	Van	7.9500	2.0000	40
NOR	52.33	D	Bus	14.5000	2.5500	41
GOK	53.83	C	Jeep	6.9500	1.8500	42
AND	56.00	B	Sedan	6.0000	1.7000	42
NOR	58.17	A	PedicabTricycle	2.1500	1.6000	43
AND	59.17	B	Sedan	6.0000	1.7000	43
NOR	59.17	D	Bus	14.5000	2.5500	44
NOR	59.83	C	Van	7.9500	2.0000	45
AND	61.50	C	MiniVanSUV	6.4000	1.7500	45
AND	62.67	C	Van	7.9500	2.0000	46
GOK	63.17	B	Sedan	6.0000	1.7000	47
GOK	63.83	C	Van	7.9500	2.0000	47
AND	64.50	A	PedicabTricycle	2.1500	1.6000	47
AND	64.67	C	MiniTruckPickup	6.4000	2.0000	48
AND	65.17	A	BicycleMotorcycle	2.1500	0.6500	49
NOR	65.67	B	Sedan	6.0000	1.7000	50
NOR	65.67	C	MiniTruckPickup	6.4000	2.0000	50
NOR	65.83	C	Van	7.9500	2.0000	50
NOR	65.83	B	Sedan	6.0000	1.7000	50
AND	67.17	C	Van	7.9500	2.0000	51
GOK	68.33	C	Jeep	6.9500	1.8500	52
AND	68.83	C	Van	7.9500	2.0000	52
GOK	69.00	C	Jeep	6.9500	1.8500	53
AND	70.00	C	MiniTruckPickup	6.4000	2.0000	53
AND	70.17	B	Sedan	6.0000	1.7000	54
NOR	70.50	B	Sedan	6.0000	1.7000	55
NOR	72.67	C	Van	7.9500	2.0000	56
NOR	73.33	B	Sedan	6.0000	1.7000	56
NOR	73.50	A	PedicabTricycle	2.1500	1.6000	57
NOR	73.67	A	PedicabTricycle	2.1500	1.6000	58
GOK	74.17	D	BigTruck	19.2500	2.6500	59
AND	74.33	C	Jeep	6.9500	1.8500	60
NOR	74.33	C	Van	7.9500	2.0000	61
GOK	76.17	B	Sedan	6.0000	1.7000	61
NOR	77.67	C	Van	7.9500	2.0000	61
GOK	80.33	C	Van	7.9500	2.0000	61
NOR	80.50	C	Van	7.9500	2.0000	61
NOR	80.67	C	Jeep	6.9500	1.8500	61
AND	80.83	B	Sedan	6.0000	1.7000	61
GOK	80.83	C	Van	7.9500	2.0000	62
NOR	80.83	C	Van	7.9500	2.0000	62
NOR	81.00	D	BigTruck	19.2500	2.6500	62
NOR	81.17	D	BigTruck	19.2500	2.6500	63
GOK	82.33	A	PedicabTricycle	2.1500	1.6000	64
NOR	82.50	B	Sedan	6.0000	1.7000	64
NOR	82.67	B	Sedan	6.0000	1.7000	65
AND	83.17	A	BicycleMotorcycle	2.1500	0.6500	66
GOK	85.83	A	PedicabTricycle	2.1500	1.6000	67
NOR	86.33	D	Bus	14.5000	2.5500	67
NOR	86.50	D	Bus	14.5000	2.5500	68
NOR	87.50	C	Van	7.9500	2.0000	69
AND	90.00	D	Bus	14.5000	2.5500	69
NOR	90.00	C	Van	7.9500	2.0000	70
GOK	90.17	B	Sedan	6.0000	1.7000	70
GOK	91.17	C	Jeep	6.9500	1.8500	70
GOK	91.50	C	Van	7.9500	2.0000	70
GOK	92.67	A	PedicabTricycle	2.1500	1.6000	70
NOR	92.83	C	Van	7.9500	2.0000	70
NOR	93.00	D	BigTruck	19.2500	2.6500	70
GOK	93.83	C	Van	7.9500	2.0000	71
NOR	95.33	B	Sedan	6.0000	1.7000	71
NOR	96.00	C	Van	7.9500	2.0000	71
AND	96.17	B	Sedan	6.0000	1.7000	71
AND	96.50	C	Van	7.9500	2.0000	72
GOK	96.83	C	Van	7.9500	2.0000	73
NOR	97.50	B	Sedan	6.0000	1.7000	73
AND	97.67	B	Sedan	6.0000	1.7000	73
NOR	98.00	C	Van	7.9500	2.0000	74
NOR	98.33	D	BigTruck	19.2500	2.6500	74
AND	98.50	C	MiniVanSUV	6.4000	1.7500	75
NOR	98.50	D	BigTruck	19.2500	2.6500	76
NOR	99.00	C	Van	7.9500	2.0000	77
NOR	100.17	B	Sedan	6.0000	1.7000	78
NOR	100.50	C	Jeep	6.9500	1.8500	78
NOR	100.83	B	Sedan	6.0000	1.7000	78
GOK	103.00	C	Jeep	6.9500	1.8500	79
AND	103.83	B	Sedan	6.0000	1.7000	79
NOR	104.00	C	Van	7.9500	2.0000	80
AND	105.00	C	Van	7.9500	2.0000	80
GOK	105.33	C	Jeep	6.9500	1.8500	81
AND	105.50	B	Sedan	6.0000	1.7000	81
GOK	105.50	A	BicycleMotorcycle	2.1500	0.6500	82
NOR	105.83	D	Bus	14.5000	2.5500	83
AND	106.17	C	MiniTruckPickup	6.4000	2.0000	84
GOK	107.67	C	Jeep	6.9500	1.8500	85
NOR	108.33	D	Bus	14.5000	2.5500	85
NOR	108.33	D	Bus	14.5000	2.5500	86
GOK	111.17	B	Sedan	6.0000	1.7000	87
AND	112.00	A	PedicabTricycle	2.1500	1.6000	87
AND	112.33	A	PedicabTricycle	2.1500	1.6000	88
GOK	112.67	B	Sedan	6.0000	1.7000	89
GOK	113.00	C	Jeep	6.9500	1.8500	89
NOR	115.33	D	BigTruck	19.2500	2.6500	89
NOR	115.50	D	Bus	14.5000	2.5500	90
GOK	122.00	B	Sedan	6.0000	1.7000	91
NOR	125.17	B	Sedan	6.0000	1.7000	91
NOR	127.17	D	Bus	14.5000	2.5500	91
AND	129.33	C	MiniTruckPickup	6.4000	2.0000	92
GOK	131.83	C	Jeep	6.9500	1.8500	93
NOR	131.83	C	Van	7.9500	2.0000	93
NOR	132.33	D	Bus	14.5000	2.5500	93
NOR	132.50	C	Van	7.9500	2.0000	94
NOR	132.67	D	BigTruck	19.2500	2.6500	94
NOR	133.50	C	Van	7.9500	2.0000	95
AND	136.33	C	Jeep	6.9500	1.8500	95
GOK	137.00	C	MiniTruckPickup	6.4000	2.0000	96
GOK	138.83	C	Van	7.9500	2.0000	96
GOK	140.33	C	Van	7.9500	2.0000	96
NOR	144.17	C	Van	7.9500	2.0000	96
